Tinh/Thanh pho,Quan/Huyen,Du an,Đia chi,Vi do,Kinh do,Gia (VND),Dien tich (m2),So phong ngu,So phong ve sinh,So tang,Duong vao,Mat tien,Huong nha,Huong ban cong,Noi that,Phap ly
Hồ Chí Minh,Hóc Môn,,"Số 41, Đường Xuân Thới Thượng 12, Xã Xuân Thới Thượng, Hóc Môn, Hồ Chí Minh",10.859167,106.571524,10500000000.0,352,4,2,1,8.0,4.0,Tây - Bắc,,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Tân,,"Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",10.7916685,106.6052572,6000000000.0,76,5,5,4,7.0,4.0,Tây,Tây,Nội thất cao cấp,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,Khu dân cư Thạnh Mỹ Lợi,"Dự án Thạnh Mỹ Lợi, 43A Đường Trịnh Khắc Lập, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",10.7698669433594,106.767135620117,33000000000.0,"220,7",45,45,7,6.0,8.0,Tây - Nam,Tây - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Chánh,The Meadow Bình Chánh,"Dự án The Meadow Bình Chánh, Đường Trần Văn Giàu, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh",10.769905090332031,106.55321502685547,6900000000.0,85,,,,,,,,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,Victoria Village,"Dự án Victoria Village, Phố 65, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",10.7727794647217,106.762481689453,75000000000.0,270,4,5,2,,,Nam,,Nội thất tân cổ điển cao cấp,Sổ đỏ đầy đủ
Hồ Chí Minh,Quận 8,,"Đường Dạ Nam, Phường 2, Quận 8, Hồ Chí Minh",10.7499937,106.6839493,4900000000.0,"30,8",2,2,1,,,Đông - Bắc,Đông - Bắc,Không nội thất.,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Thủ Đức,,"Đường 12, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",10.8632718,106.7281311,14200000000.0,140,10,12,3,,,Đông - Bắc,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 9,Vinhomes Grand Park,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.841423034668,106.840118408203,22000000000.0,200,4,4,3,13.0,7.0,Tây,Đông,Không nội thất,Hợp đồng mua bán
Hồ Chí Minh,Quận 7,Biệt thự lâu đài Chateau,"Dự án Biệt thự Chateau, Đường Hà Huy Tập, Phường Tân Phú, Quận 7, Hồ Chí Minh",10.7149295806885,106.725685119629,240000000000.0,"572,1",6,6,3,,,Bắc,,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 4,,"78/29/23 Đường Khánh Hội, Phường 4, Quận 4, Hồ Chí Minh",10.7558362,106.7013419,5900000000.0,40,5,4,4,2.7,3.8,Nam,Nam,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,,"Đường Lê Văn Thịnh, Phường Cát Lái, Quận 2, Hồ Chí Minh",10.7833953208411,106.769344384131,13500000000.0,100,9,9,5,6.0,,Tây - Bắc,Đông,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Gò Vấp,,"113/, Đường Lê Đức Thọ, Phường 7, Gò Vấp, Hồ Chí Minh",10.8316666,106.682513,3390000000.0,65,4,5,3,5.0,,,,Cơ bản.,Sổ đỏ/ Sổ hồng.
Hồ Chí Minh,Quận 3,,"Hẻm 618, Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Hồ Chí Minh",10.7869358734443,106.665672868231,8199999999.999999,83,2,2,,3.0,,Tây,,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Tân Bình,,"Đường Bàu Cát, Phường 14, Tân Bình, Hồ Chí Minh",10.7920653,106.6434366,16800000000.0,"92,04",,,,12.0,,,,,
Hồ Chí Minh,Bình Chánh,Westgate,"Dự án Westgate, Đường Tân Túc, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh",10.6870050430298,106.585426330566,8500000000.0,"212,3",,,2,,,,,,
Hồ Chí Minh,Quận 9,The Classia,"Dự án The Classia, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",10.8000783920288,106.792167663574,15000000000.0,90,4,5,4,12.0,5.0,Đông - Nam,,Không nội thất,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Nguyên Hồng, Phường 11, Bình Thạnh, Hồ Chí Minh",10.8180933,106.693053,2380000000.0,40,3,3,4,,4.0,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 10,,"84/37, Đường Hòa Hưng, Phường 13, Quận 10, Hồ Chí Minh",10.7785625,106.6727113,6900000000.0,40,3,1,2,6.0,3.6,Bắc,Bắc,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,The Global City,"Dự án The Global City, Đường Đỗ Xuân Hợp, Phường An Phú, Quận 2, Hồ Chí Minh",10.801913261413574,106.7647476196289,31500000000.0,95,4,4,5,14.0,5.0,Tây - Bắc,Đông - Nam,Không nội thất,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Tân Phú,,"Đường Khuông Việt, Phường Phú Trung, Tân Phú, Hồ Chí Minh",10.7756665,106.6391373,8449999999.999999,96,5,6,5,7.0,,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 9,The Classia,"Dự án The Classia, số nhà 106 Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",10.800078392028809,106.79216766357422,16960000000.0,95,6,6,4,,16.0,Tây - Bắc,,Đầy đủ.,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 10,,"575/47/24, Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh",10.7851206,106.667993,7200000000.0,39,5,4,4,,,,,,
Hồ Chí Minh,Quận 9,,"Đường Số 827, Phường Phú Hữu, Quận 9, Hồ Chí Minh",10.8141314,106.7301065,9800000000.0,74,3,4,2,5.0,7.0,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Thủ Đức,,"Đường 10, QL 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",10.8688145034545,106.721006666898,5000000000.0,"51,94",3,3,2,,6.0,Đông - Nam,Đông - Nam,Đầy đủ,Sổ riêng
Hồ Chí Minh,Tân Phú,,"142 Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",10.7997882,106.630604,75000000000.0,"311,3",,,,20.0,12.0,Đông,Đông,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 9,,"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.8348308,106.8300572,8199999999.999999,300,3,3,3,100.0,8.0,Đông,Đông,Không nội thất,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Nguyễn Gia Trí, Phường 25, Bình Thạnh, Hồ Chí Minh",10.8032566,106.7163905,280000000000.0,747,,,,,20.75,,,Không nội thất,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Phú Nhuận,,"Đường Phan Xích Long, Phường 3, Phú Nhuận, Hồ Chí Minh",10.8010727,106.6838453,8600000000.0,43,3,4,4,4.0,4.3,Đông - Nam,Đông - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 9,Verosa Park Khang Điền,"Dự án Verosa Park, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh",10.8059921264648,106.790031433105,10190000000.0,75,4,4,4,20.0,6.0,Nam,Nam,,Sổ đỏ/ Sổ hồng.
Hồ Chí Minh,Quận 2,,"Đường Lương Định Của, Phường An Khánh, Quận 2, Hồ Chí Minh",10.7881363,106.7327113,18000000000.0,76,5,5,5,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 9,The Classia,"Dự án The Classia, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",10.8000783920288,106.792167663574,15800000000.0,95,4,4,3,,,Đông - Nam,,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Nơ Trang Long, Phường 7, Bình Thạnh, Hồ Chí Minh",10.8069771,106.6950452,7900000000.0,40,3,4,4,6.0,10.0,Tây - Nam,Tây - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 9,Masteri Centre Point,"Dự án Masteri Centre Point, Quận 9, Hồ Chí Minh",10.835248,106.83022,28670000000.0,322,4,5,,,,,,Không nội thất,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Tân Bình,,"Đường Phan Sào Nam, Phường 11, Tân Bình, Hồ Chí Minh",10.788894,106.6455146,3490000000.0,"54,6",2,2,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 9,Khu đô thị mới Đông Tăng Long,"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",10.8091526031494,106.821228027344,6500000000.0,100,4,5,3,12.0,20.0,Bắc,Bắc,Cơ bản.,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Phú Nhuận,,"Đường Huỳnh Văn Bánh, Phường 12, Phú Nhuận, Hồ Chí Minh",10.7921504,106.6776597,7150000000.0,29,3,4,4,5.0,3.5,Tây - Bắc,Tây - Bắc,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 7,,"Đường Phan Huy Thực, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",10.7474463,106.7071474,10200000000.0,48,3,4,3,14.0,,Nam,,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,,"Phường An Phú, Quận 2, Hồ Chí Minh",10.798809416265337,106.75684770165911,22000000000.0,100,,,,,,,,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Thủ Đức,,"155/2, Đường Tô Ngọc Vân, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",10.8560778,106.7503809,4099999999.9999995,24,,,2,,,,,,
Hồ Chí Minh,Quận 7,Hưng Thái,"Dự án Hưng Thái 1 & 2, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.734663963317871,106.70854949951172,26500000000.0,126,,,3,,,Bắc,,,
Hồ Chí Minh,Tân Bình,,"Đường Trường Chinh, Phường 15, Tân Bình, Hồ Chí Minh",10.8143723,106.6323608,4950000000.0,50,3,3,3,5.0,4.5,Tây - Bắc,,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 7,,"Đường 53, Phường Tân Quy, Quận 7, Hồ Chí Minh",10.7406442,106.7151214,16800000000.0,120,4,4,4,24.0,4.0,Bắc,,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Phú Nhuận,,"Đường Lê Văn Sỹ, Phường 13, Phú Nhuận, Hồ Chí Minh",10.7908218,106.6729344,11990000000.0,64,5,6,4,6.0,4.0,Đông - Bắc,Đông - Bắc,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 7,,"Đường 18, Phường Tân Phú, Quận 7, Hồ Chí Minh",10.829761,106.7305718,10900000000.0,60,2,1,1,12.0,4.0,Đông - Nam,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 9,Khu đô thị mới Đông Tăng Long,"Dự án Khu đô thị mới Đông Tăng Long, Quận 9, Hồ Chí Minh",10.809153,106.82123,6500000000.0,100,4,5,3,20.0,5.0,Bắc,,,
Hồ Chí Minh,Quận 2,Gateway Thảo Điền,"Dự án Gateway Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",10.803821563720703,106.7467269897461,30000000000.0,150,,,3,30.0,7.0,Đông - Nam,Đông - Nam,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 1,,"Đường Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",10.7687678,106.6935108,142000000000.0,"195,5",,,11,,8.5,,,,
Hồ Chí Minh,Quận 1,Vinhomes Golden River Ba Son,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",10.784106254577637,106.70365142822266,159600000000.0,225,5,5,4,20.0,25.0,Tây - Nam,Đông - Bắc,Đã hoàn thiện đẹp sang trọng.,Sổ hồng chính chủ vĩnh viễn.
Hồ Chí Minh,Quận 10,,"Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh",10.7721997,106.6694042,41900000000.0,65,5,5,5,20.0,4.2,,,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh",10.8299749,106.7026103,12800000000.0,100,10,11,4,7.0,5.0,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Gò Vấp,,"Đường Nguyễn Tư Giản, Phường 12, Gò Vấp, Hồ Chí Minh",10.8324928,106.6389171,13500000000.0,72,4,7,5,8.0,4.0,,,Đầy đủ.,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Phú Nhuận,,"Đường Phan Đình Phùng, Phường 17, Phú Nhuận, Hồ Chí Minh",10.7944534,106.6836631,5800000000.0,"30,4",2,3,4,3.5,3.2,Đông - Nam,Đông - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Mai Xuân Thưởng, Phường 11, Bình Thạnh, Hồ Chí Minh giá 2tỷ180",10.8154641,106.6942961,2180000000.0,"44,9",4,3,3,6.0,4.0,,,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,,"Đường Nguyễn Thị Định, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",10.7808517,106.7619462,26500000000.0,"132,5",,,,30.0,4.4,Tây - Nam,Tây - Nam,Không nội thất,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 2,,"39, Đường Lê Văn Thịnh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",10.7830996,106.7692518,10600000000.0,40,3,3,3,20.0,3.21,,,,
Hồ Chí Minh,Bình Tân,,"Đường Lê Văn Quới, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",10.7761421,106.6123114,5200000000.0,64,5,5,4,7.0,7.0,Tây,Tây,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Nguyễn Thượng Hiền, Phường 5, Bình Thạnh, Hồ Chí Minh",10.8122902,106.6852683,9300000000.0,50,5,6,4,6.0,4.0,Tây - Bắc,Tây - Bắc,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 9,Park Riverside Tân Cảng,"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh",10.8070869445801,106.799858093262,15500000000.0,130,4,3,2,20.0,,Tây - Bắc,Tây - Bắc,,Sổ hồng
Hồ Chí Minh,Bình Chánh,Mizuki Park,"Mizuki Park, số nhà 2, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",10.7114878493548,106.662459373474,35000000000.0,264,,,3,16.0,,Đông,Đông,Không nội thất,Đang chờ sổ
Hồ Chí Minh,Bình Thạnh,,"Đường Nguyên Hồng, Phường 11, Bình Thạnh, Hồ Chí Minh",10.8180933,106.693053,4300000000.0,56,,,,,,,,,Sổ hồng đầy đủ
Hồ Chí Minh,Quận 10,,"Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh",10.7721997,106.6694042,25000000000.0,"140,1",4,3,3,,9.0,,,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Tân Phú,,"Đường Phan Thị Hành, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",10.7864369008825,106.627862021583,7200000000.0,48,,,1,12.0,,,,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Thủ Đức,Khu đô thị Vạn Phúc City,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",10.8448801040649,106.718200683594,15300000000.0,85,,,5,,5.0,,,Cơ bản.,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh",10.8305916,106.705546,11900000000.0,"102,7",12,12,4,12.0,5.0,,,Đầy đủ.,Sổ đỏ/ Sổ hồng.
Hồ Chí Minh,Quận 3,,"Đường Nguyễn Hiền, Phường 4, Quận 3, Hồ Chí Minh",10.7723176,106.680798,24500000000.0,"82,8",8,10,3,,,,,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh",10.8299749,106.7026103,9500000000.0,80,2,3,2,12.0,4.0,,,Đầy đủ.,Sổ đỏ/ Sổ hồng.
Hồ Chí Minh,Bình Thạnh,,"Đường Nguyễn Xí, Phường 13, Bình Thạnh, Hồ Chí Minh",10.8200704,106.7040266,8500000000.0,"59,5",4,5,4,6.0,4.0,,,Đầy đủ,Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh",10.8305916,106.705546,10000000000.0,76,4,5,4,12.0,4.0,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 10,,"Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",10.7730111,106.6763964,17500000000.0,119,,,,,,,,,
Hồ Chí Minh,Quận 10,,"Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh",10.7721997,106.6694042,25000000000.0,"140,1",4,3,3,,9.0,,,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Tân Phú,,"Đường Phan Thị Hành, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",10.7864369008825,106.627862021583,7200000000.0,48,,,1,12.0,,,,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Thủ Đức,Khu đô thị Vạn Phúc City,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",10.8448801040649,106.718200683594,15300000000.0,85,,,5,,5.0,,,Cơ bản.,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh",10.8305916,106.705546,11900000000.0,"102,7",12,12,4,12.0,5.0,,,Đầy đủ.,Sổ đỏ/ Sổ hồng.
Hồ Chí Minh,Quận 3,,"Đường Nguyễn Hiền, Phường 4, Quận 3, Hồ Chí Minh",10.7723176,106.680798,24500000000.0,"82,8",8,10,3,,,,,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh",10.8299749,106.7026103,9500000000.0,80,2,3,2,12.0,4.0,,,Đầy đủ.,Sổ đỏ/ Sổ hồng.
Hồ Chí Minh,Bình Thạnh,,"Đường Nguyễn Xí, Phường 13, Bình Thạnh, Hồ Chí Minh",10.8200704,106.7040266,8500000000.0,"59,5",4,5,4,6.0,4.0,,,Đầy đủ,Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh",10.8305916,106.705546,10000000000.0,76,4,5,4,12.0,4.0,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 10,,"Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",10.7730111,106.6763964,17500000000.0,119,,,,,,,,,
Hồ Chí Minh,Quận 10,,"Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh",10.7721997,106.6694042,25000000000.0,"140,1",4,3,3,,9.0,,,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Tân Phú,,"Đường Phan Thị Hành, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",10.7864369008825,106.627862021583,7200000000.0,48,,,1,12.0,,,,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Thủ Đức,Khu đô thị Vạn Phúc City,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",10.8448801040649,106.718200683594,15300000000.0,85,,,5,,5.0,,,Cơ bản.,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh",10.8305916,106.705546,11900000000.0,"102,7",12,12,4,12.0,5.0,,,Đầy đủ.,Sổ đỏ/ Sổ hồng.
Hồ Chí Minh,Quận 3,,"Đường Nguyễn Hiền, Phường 4, Quận 3, Hồ Chí Minh",10.7723176,106.680798,24500000000.0,"82,8",8,10,3,,,,,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh",10.8299749,106.7026103,9500000000.0,80,2,3,2,12.0,4.0,,,Đầy đủ.,Sổ đỏ/ Sổ hồng.
Hồ Chí Minh,Bình Thạnh,,"Đường Nguyễn Xí, Phường 13, Bình Thạnh, Hồ Chí Minh",10.8200704,106.7040266,8500000000.0,"59,5",4,5,4,6.0,4.0,,,Đầy đủ,Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh",10.8305916,106.705546,10000000000.0,76,4,5,4,12.0,4.0,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 10,,"Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",10.7730111,106.6763964,17500000000.0,119,,,,,,,,,
Hồ Chí Minh,Quận 10,,"Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh",10.7721997,106.6694042,25000000000.0,"140,1",4,3,3,,9.0,,,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Tân Phú,,"Đường Phan Thị Hành, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",10.7864369008825,106.627862021583,7200000000.0,48,,,1,12.0,,,,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Thủ Đức,Khu đô thị Vạn Phúc City,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",10.8448801040649,106.718200683594,15300000000.0,85,,,5,,5.0,,,Cơ bản.,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh",10.8305916,106.705546,11900000000.0,"102,7",12,12,4,12.0,5.0,,,Đầy đủ.,Sổ đỏ/ Sổ hồng.
Hồ Chí Minh,Quận 3,,"Đường Nguyễn Hiền, Phường 4, Quận 3, Hồ Chí Minh",10.7723176,106.680798,24500000000.0,"82,8",8,10,3,,,,,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh",10.8299749,106.7026103,9500000000.0,80,2,3,2,12.0,4.0,,,Đầy đủ.,Sổ đỏ/ Sổ hồng.
Hồ Chí Minh,Bình Thạnh,,"Đường Nguyễn Xí, Phường 13, Bình Thạnh, Hồ Chí Minh",10.8200704,106.7040266,8500000000.0,"59,5",4,5,4,6.0,4.0,,,Đầy đủ,Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh",10.8305916,106.705546,10000000000.0,76,4,5,4,12.0,4.0,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 10,,"Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",10.7730111,106.6763964,17500000000.0,119,,,,,,,,,
